Year,AS-RCEC_TaiESM1_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
1928,0.11544,0.12359,0.11988,0.4304,0.27539,0.39503,0.41846,-0.23047,0.08873,0.04288,0.23277,0.22953,0.36987,0.10878,0.13571,0.06516,0.24737,0.13629,0.16285,-0.01618,0.38559,0.1138,0.27836,-0.0739,0.25183,0.39771,0.24271
1929,-0.04835,0.19194,0.1795,0.28192,0.30219,0.31676,0.51873,-0.1694,-0.02252,0.13255,0.22412,0.28457,0.43296,0.23466,0.12632,0.04483,0.16271,0.05805,0.11955,-0.03247,0.33298,0.1656,0.12493,-0.0563,0.0807,0.31219,0.15998
1930,0.01309,0.2348,0.19757,0.27566,0.23216,0.23643,0.35283,-0.18261,-0.00843,0.03395,0.17136,0.36138,0.40334,0.08578,0.27961,0.00073,0.00533,-0.09001,0.24713,0.06371,0.16658,0.10373,0.1891,0.17545,0.12469,0.2506,0.02179
1931,0.0785,0.26446,0.13669,0.42218,0.08445,0.42697,0.49872,-0.15701,0.04657,-0.04738,0.10321,0.26932,0.28043,-0.04748,0.17543,0.05369,0.09917,-0.15738,0.20414,-0.11802,0.17257,-0.05411,0.30533,0.23795,0.12651,0.33296,0.06593
1932,-0.05488,0.19352,0.08404,0.46674,0.11237,0.56645,0.477,-0.17065,0.00947,0.10984,0.20083,0.23025,0.28545,0.14989,0.29935,0.13863,0.21506,-0.08113,0.14633,-0.07224,0.09782,0.07916,0.30974,-0.1175,0.27559,0.40768,0.18019
1933,0.03022,0.16103,0.15239,0.23068,0.07908,0.27145,0.47055,-0.10576,-0.10159,0.16798,0.31324,0.20409,0.21333,0.25239,0.22463,0.00383,0.18204,-0.09552,0.03967,-0.05219,0.15462,0.10782,0.16048,0.03365,0.19796,0.35709,0.20435
1934,0.25084,0.27448,0.16451,0.27655,0.11471,0.13109,0.3986,0.04886,-0.16927,0.37592,0.39398,0.27495,0.25399,0.26362,0.13069,0.12053,0.20074,-0.00986,-0.01771,-0.10562,0.22278,0.08969,0.05852,0.15542,0.21225,0.24158,0.2871
1935,0.07665,0.31511,0.13436,0.23485,0.20948,0.29337,0.38974,-0.12705,-0.11549,0.25746,0.2769,0.2559,0.33105,0.15207,0.01926,0.1538,0.27822,0.12442,-0.04571,-0.06828,0.27173,0.19966,0.40158,0.00832,0.22821,0.23095,0.27417
1936,0.13599,0.2414,0.09522,0.1223,0.26291,0.40234,0.47551,-0.34784,-0.1476,0.28551,0.29134,0.25725,0.26394,0.23284,0.24245,0.18921,0.07585,-0.09248,0.04212,0.07955,0.20507,0.31438,0.52377,-0.13948,0.20944,0.16185,0.12707
1937,0.19024,0.1802,0.19834,0.28591,0.20883,0.25228,0.41794,-0.20821,-0.1132,0.093,0.32088,0.31513,0.25503,0.40587,0.15545,0.35577,0.0014,-0.03676,0.11863,-0.21023,0.18917,0.24268,0.28243,-0.06576,0.42701,0.12835,0.19793
1938,0.06545,0.32228,0.25787,0.41914,0.02079,0.19705,0.3386,-0.04196,0.07341,0.14993,0.31069,0.21204,0.22985,0.3473,0.1358,0.29543,0.21539,0.07487,0.08701,-0.22893,0.24886,0.32207,0.3634,0.09405,0.21719,0.22514,0.0843
1939,0.02062,0.21418,0.2339,0.42247,0.05612,0.36005,0.47505,0.00439,-0.23676,0.20949,0.49624,0.24443,0.2439,0.1992,0.26349,0.04243,0.29153,0.08894,0.13594,-0.04897,0.15104,0.25579,0.30945,0.17388,0.20236,0.287,0.03393
1940,0.15743,0.2479,0.36134,0.31602,-0.01698,0.41782,0.42459,-0.01428,0.02284,0.19127,0.61095,0.2729,0.30266,0.13574,0.50868,0.03838,0.43441,0.12609,0.11822,-0.15168,0.33403,0.18096,0.17615,0.26093,0.34888,0.31222,0.19359
1941,0.01963,0.20457,0.37561,0.30685,0.18615,0.38462,0.36285,-0.02555,0.00773,0.33271,0.60649,0.39553,0.31936,0.27634,0.28428,0.10506,0.29637,0.25036,0.01486,-0.07526,0.3362,0.21834,0.27629,0.186,0.42292,0.10388,0.24695
1942,0.03396,-0.003,0.14551,0.03961,0.08334,0.12819,0.3878,0.16427,0.01351,0.23983,0.65707,0.36729,0.37263,0.53008,0.29316,0.20951,0.0978,0.05794,-0.02496,0.0891,0.46181,0.1156,0.36999,0.16964,0.39469,0.11379,0.23063
1943,0.192,0.28947,0.22929,0.23364,-0.05804,0.1457,0.3644,0.06341,-0.14296,0.17852,0.66046,0.37543,0.17398,0.47894,0.35783,0.38327,-0.03321,-0.10265,0.09303,-0.10755,0.50859,0.13279,0.28016,0.04515,0.47244,0.23428,0.21629
1944,0.06989,0.43792,0.28253,0.22274,0.09363,0.18304,0.35268,-0.09643,0.00334,0.27073,0.65008,0.34728,0.187,0.33937,0.21512,0.50374,0.32687,-0.02021,0.18232,0.02855,0.2667,0.2706,0.3612,-0.00425,0.35888,0.16278,0.19377
1945,-0.0546,0.39907,0.22331,0.27933,0.23948,0.09718,0.36373,0.14988,-0.08949,0.32582,0.6982,0.28647,0.2701,0.34485,0.34738,0.36553,0.40745,-0.08543,0.1055,-0.11966,0.31592,0.19538,0.09811,0.07361,0.3387,-0.05412,0.15422
1946,-0.01467,0.25909,0.29659,0.20388,0.1252,0.27564,0.34974,0.16899,-0.02412,0.22697,0.74771,0.23175,0.35964,0.27342,0.31628,0.05935,0.154,0.04081,0.2338,-0.04874,0.473,0.34753,0.05888,0.01018,0.3043,0.03281,0.23198
1947,0.15222,0.21794,0.24813,0.02945,0.23545,0.36398,0.42065,-0.11899,0.01079,0.11059,0.61842,0.36834,0.34693,0.36874,0.33484,0.07959,0.02215,0.09209,0.30539,0.05593,0.41866,0.33883,-0.02448,-0.0019,0.31249,0.23072,0.43917
1948,0.05028,0.4021,0.38496,0.40796,0.51153,0.27741,0.49353,-0.03517,-0.05392,0.11064,0.57604,0.38518,0.33474,0.46511,0.4247,0.19334,0.09784,-0.00028,0.10181,0.01791,0.20564,0.4183,0.06968,0.21353,0.32286,0.14029,0.43
1949,0.02214,0.16919,0.50478,0.41419,0.28072,0.33662,0.48144,0.1767,-0.08507,0.20299,0.65216,0.40396,0.33379,0.39549,0.33236,0.19013,0.24618,0.13398,0.22472,-0.18304,0.21159,0.3989,0.40689,0.19168,0.38957,0.08961,0.43707
1950,-0.09746,0.22117,0.4446,0.18585,0.1967,0.16553,0.50484,0.20817,-0.05063,0.02241,0.65938,0.38251,0.40109,0.26035,0.30828,0.18954,0.37095,-0.04804,0.00896,-0.22336,0.27999,0.38494,0.30313,0.25394,0.52018,0.18164,0.52232
1951,0.05864,0.26286,0.34785,0.34418,0.36796,0.13874,0.49851,0.11904,-0.13344,0.12888,0.68156,0.32497,0.33857,0.41533,0.26757,0.14941,0.05624,-0.03359,0.02903,-0.21039,0.46655,0.309,0.43034,0.33909,0.36292,0.08626,0.60807
1952,0.14175,0.24287,0.33363,0.2022,0.42456,0.26861,0.43654,0.10572,-0.18089,0.18321,0.75525,0.3351,0.24925,0.56123,0.09835,0.12367,0.05564,0.08845,0.15478,-0.12726,0.52505,0.17813,0.53012,0.16309,0.40218,0.10726,0.53084
1953,0.032,0.36699,0.14531,0.4302,0.37924,0.30956,0.46079,-0.03321,-0.03529,0.17416,0.81198,0.30589,0.15326,0.44333,0.27443,0.03114,0.26627,0.25836,0.09308,-0.08881,0.36138,0.0824,0.35941,0.13588,0.43714,0.22308,0.66816
1954,-0.01617,0.50508,0.14505,0.53333,0.12782,0.24238,0.48182,-0.0001,-0.03408,0.10194,0.68217,0.3626,0.30409,0.32638,0.32978,0.07211,0.10361,0.09872,0.01458,0.19313,0.29263,0.19659,0.29422,0.22284,0.60198,0.22147,0.53227
1955,0.09364,0.34775,0.19478,0.51871,0.34674,0.30102,0.55818,0.02428,0.07153,0.14285,0.81843,0.40453,0.44096,0.45383,0.35273,0.24148,0.1063,-0.03316,0.15348,0.0107,0.18457,0.34894,0.38356,0.04916,0.49558,0.15846,0.33913
1956,-0.00317,0.30965,0.17489,0.33415,0.51807,0.21735,0.43167,-0.04498,-0.16134,0.03918,0.74837,0.37361,0.45026,0.49435,0.19661,0.35723,0.35693,0.13864,0.31793,0.08338,0.15558,0.16573,0.34348,-0.05687,0.51695,0.09965,0.3531
1957,-0.11337,0.29732,0.18195,0.50235,0.3563,0.34433,0.47534,0.06392,0.0554,0.15262,0.75078,0.37713,0.41194,0.59819,0.29531,0.36502,0.28482,0.15918,0.3753,0.02955,0.18678,0.24811,0.19508,-0.13005,0.50832,0.14355,0.37408
1958,-0.10896,0.23114,0.22542,0.56891,0.16294,0.35525,0.54633,0.13835,0.10662,0.12208,0.71521,0.33622,0.43829,0.62495,0.32405,0.23955,0.09655,0.0755,0.39046,0.13144,0.17301,0.33404,0.06659,-0.04808,0.41436,0.268,0.4173
1959,-0.02087,0.31845,0.35311,0.3769,0.22237,0.20597,0.63833,-0.02834,-0.02451,0.21219,0.68269,0.44803,0.4288,0.3831,0.26613,0.10704,0.13661,0.08882,0.17791,-0.01628,0.26032,0.26625,-0.10393,0.16157,0.48979,0.32591,0.51135
1960,-0.00897,0.29462,0.41153,0.39091,0.11558,0.17898,0.64024,0.08838,0.0624,0.27597,0.7651,0.4698,0.26759,0.47636,0.4484,0.08456,0.35251,0.14041,0.01412,0.00309,0.44678,0.26608,-0.00365,0.23219,0.55284,0.21306,0.52793
1961,0.00402,0.45369,0.53169,0.49418,0.16502,0.3458,0.56829,0.15053,0.13951,0.23151,0.75482,0.48055,0.34695,0.48427,0.41612,0.09812,0.46889,0.11704,0.10979,-0.09198,0.51728,0.13213,0.17932,0.36085,0.47557,0.14072,0.34868
1962,-0.00607,0.50687,0.26224,0.39049,0.29849,0.44748,0.52036,0.11942,0.09327,0.15551,0.65677,0.40732,0.36918,0.70984,0.10342,0.37854,0.05374,0.0042,0.15567,0.05979,0.26234,0.17786,0.24801,0.3554,0.51857,0.16279,0.26013
1963,-0.14322,0.42328,0.06022,0.21096,0.37185,0.30277,0.52139,-0.01038,-0.08426,-0.04902,0.60743,0.19016,0.37419,0.51615,0.38736,0.43293,-0.14466,-0.20856,-0.0587,-0.17933,0.08351,0.09884,0.31221,0.06924,0.44408,0.02669,0.11492
1964,-0.24336,0.32594,0.02293,0.0339,0.3794,0.08678,0.5559,0.15905,-0.04442,-0.12692,0.35665,0.18952,0.24577,0.40232,0.11931,-0.04279,-0.1866,-0.23529,-0.06034,-0.4577,0.02981,0.11487,0.31172,-0.13833,0.36931,-0.27054,0.28682
1965,-0.22916,0.3281,0.28263,0.264,0.49132,0.0833,0.52155,0.10088,-0.13487,-0.13211,0.35184,0.24793,0.27518,0.4461,-0.14815,-0.16158,0.01475,-0.27737,-0.02134,-0.27031,0.13831,0.06088,0.06658,-0.25089,0.29793,-0.17043,0.30016
1966,-0.24723,0.29305,0.3477,0.23637,0.31436,0.26331,0.61177,0.02627,0.11985,-0.14497,0.50624,0.23908,0.30375,0.45556,0.19873,-0.08751,0.23846,-0.2172,-0.08625,-0.17008,0.24367,0.1,0.08412,-0.32501,0.21157,0.05919,0.24491
1967,-0.11073,0.18551,0.19348,0.38121,0.08673,0.48814,0.62453,-0.07118,0.29045,-0.05867,0.4522,0.37915,0.25018,0.47269,0.39333,0.11914,-0.01855,-0.15331,-0.03721,-0.33672,0.31917,0.12852,0.15447,-0.477,0.21044,0.13196,0.11225
1968,-0.01464,0.445,0.26115,0.47792,0.32029,0.52614,0.59719,0.15791,0.00292,0.11486,0.40865,0.36229,0.22538,0.47782,0.25432,0.33769,-0.07886,-0.01478,0.08194,-0.48195,0.3519,0.09194,0.21166,-0.30103,0.3684,0.12149,0.13305
1969,-0.13421,0.58398,0.23163,0.43171,0.39622,0.20661,0.63061,0.31151,0.21687,0.11788,0.48193,0.3279,0.19652,0.55471,0.24448,-0.02391,0.11423,0.05685,0.06422,-0.41914,0.26368,0.03023,0.1378,-0.33638,0.38083,0.09825,0.16922
1970,-0.0553,0.50871,0.13879,0.52742,0.48141,0.05676,0.59202,0.16109,0.01851,0.05226,0.51009,0.32459,0.21772,0.35953,0.31189,0.0018,0.27434,-0.09581,0.03418,-0.2701,0.16719,0.11462,0.12475,-0.28075,0.42989,0.03779,0.27974
1971,-0.08078,0.24221,0.11574,0.5669,0.62029,0.11404,0.57933,0.28855,0.17447,0.02178,0.57119,0.38329,0.20106,0.39516,0.4244,0.08812,0.03041,-0.025,-0.03961,-0.36186,0.17493,0.16763,0.08095,-0.27977,0.49086,0.05899,0.20405
1972,-0.19306,0.31384,0.13765,0.44213,0.46411,0.46186,0.64311,0.20068,0.05546,0.1154,0.69107,0.19737,0.22519,0.53336,0.47985,0.01293,0.0135,0.07813,0.09347,-0.35,0.20894,0.08971,0.30529,-0.0497,0.38049,0.25195,0.07869
1973,-0.17842,0.2589,0.36997,0.38358,0.31896,0.6978,0.57769,0.10835,0.18106,0.25284,0.54026,0.18579,0.30036,0.68515,0.48582,0.12233,0.16321,0.09098,0.16919,-0.35128,0.35965,0.08767,0.43943,-0.01312,0.31448,0.29186,-0.00359
1974,-0.11679,0.39613,0.49819,0.43489,0.1998,0.6165,0.69204,0.25713,0.10909,0.06237,0.62359,0.23702,0.24654,0.43369,0.47132,0.18884,0.20556,-0.01086,0.22708,-0.37433,0.36582,0.29074,0.24228,0.11459,0.37687,0.15165,0.32212
1975,-0.07048,0.24157,0.45413,0.31165,0.23155,0.46001,0.68749,0.30321,-0.02611,0.04534,0.82489,0.37838,0.30858,0.40721,0.5643,0.29896,0.3409,-0.05904,0.00651,-0.22711,0.1573,0.23616,0.12903,0.14904,0.2632,-0.00808,0.22367
1976,-0.21702,0.41909,0.39509,0.50201,0.41413,0.51693,0.61525,0.12797,0.01984,0.13819,0.72433,0.34801,0.32401,0.56628,0.56013,0.10803,0.23408,-0.17952,0.10109,-0.20466,0.07047,-0.01253,0.29012,0.06022,0.34011,0.14536,0.11749
1977,-0.37009,0.52055,0.57291,0.28218,0.55129,0.51832,0.66222,0.22481,0.04092,0.15376,0.53074,0.3359,0.42579,0.55619,0.53768,0.13386,0.00682,-0.00731,0.20432,-0.2562,0.21398,0.07253,0.40022,0.16355,0.47577,0.26901,0.18831
1978,-0.29704,0.27831,0.63157,0.36728,0.52997,0.53867,0.66641,0.23703,0.12393,0.14576,0.65459,0.33832,0.44986,0.51395,0.57267,0.39999,0.09166,-0.0768,0.31812,-0.14572,0.25011,0.2274,0.47605,0.26273,0.37059,0.18543,0.14025
1979,-0.05838,0.52122,0.35942,0.51007,0.6778,0.70065,0.58176,0.23048,0.18602,0.28565,0.73017,0.4736,0.47886,0.58747,0.66132,0.29809,0.1789,-0.01857,0.2812,-0.22731,0.38745,0.1886,0.3032,0.34037,0.49764,0.13173,0.21131
1980,0.03657,0.45083,0.45425,0.44255,0.72602,0.64085,0.66961,0.59158,0.18935,0.14196,0.75913,0.44636,0.47778,0.74129,0.52325,0.09986,0.36033,0.00131,0.39694,-0.27023,0.57017,0.18409,0.26071,0.14083,0.62707,0.08434,0.12273
1981,-0.09727,0.52965,0.51835,0.48742,0.74236,0.5433,0.68816,0.51697,0.19995,0.21231,0.83363,0.42562,0.39239,0.63971,0.64824,0.10654,0.45417,-0.12245,0.20705,-0.15519,0.50426,0.28852,0.54291,0.13814,0.75261,0.25371,0.27295
1982,-0.20098,0.4227,0.68676,0.4784,0.65955,0.69337,0.77231,0.39784,0.10962,0.16498,0.88505,0.43333,0.41502,0.36906,0.62953,0.34991,0.11206,-0.02222,0.05179,-0.11556,0.43832,0.39818,0.37295,0.04109,0.52004,0.34229,0.21575
1983,-0.1064,0.43268,0.59937,0.51495,0.68627,0.79908,0.50455,0.28605,-0.00828,0.07887,0.74029,0.04608,0.09756,0.21978,0.51381,0.3111,0.02665,-0.11971,-0.04053,-0.10664,0.32779,0.20062,0.16716,-0.13105,0.48119,0.08658,-0.16334
1984,-0.05887,0.44865,0.53754,0.66801,0.65999,0.69403,0.54273,0.23688,0.17924,0.20482,0.6382,0.32358,0.15221,0.37963,0.43271,0.50493,0.18362,0.06517,0.15892,-0.11172,0.57948,0.10129,0.29709,-0.13801,0.60212,-0.00174,0.12678
1985,-0.19,0.50175,0.55599,0.51762,0.59086,0.62039,0.66676,0.46395,0.27384,0.30315,0.56739,0.43747,0.27217,0.28395,0.61831,0.32223,0.48875,-0.01497,0.12631,-0.19256,0.64143,0.50664,0.28419,0.05102,0.56315,0.08206,0.10085
1986,-0.18986,0.54463,0.57226,0.66019,0.54595,0.64953,0.55363,0.44578,0.3917,0.42908,0.73781,0.46709,0.33905,0.58789,0.62228,0.14802,0.49327,0.04955,0.20393,-0.00675,0.59191,0.35272,0.23597,0.01045,0.6893,0.24692,0.17958
1987,-0.04326,0.64799,0.74836,0.74418,0.75607,0.68431,0.64388,0.65838,0.33331,0.16144,0.93777,0.43985,0.29458,0.83154,0.77712,0.2959,0.19324,0.05783,0.23365,-0.00988,0.4773,0.31719,0.35869,-0.14362,0.74692,0.27285,0.20709
1988,0.08484,0.51841,0.75601,0.72939,0.80026,0.68875,0.69534,0.59416,0.41053,0.16503,1.05687,0.51927,0.41773,1.04131,0.9683,0.33375,0.21158,0.0455,0.22341,-0.02358,0.45134,0.3822,0.60571,-0.0026,0.88022,0.21355,0.39555
1989,0.13766,0.75216,0.66917,0.72818,0.77854,0.80257,0.73109,0.5014,0.43255,0.33139,1.20941,0.60628,0.53584,1.18593,0.8353,0.29951,0.34079,0.21178,0.35203,0.13558,0.59779,0.26976,0.57651,0.24503,0.77504,0.32493,0.48287
1990,0.17081,0.78877,0.78319,0.78494,0.77977,0.85122,0.74223,0.65305,0.47284,0.43169,0.82818,0.77045,0.53065,0.76744,0.93115,0.38796,0.5125,0.32848,0.2183,0.27985,0.74013,0.35143,0.51691,0.78967,0.87146,0.58705,0.60184
1991,0.0662,0.62057,0.81059,0.81402,0.97856,0.72839,0.73558,0.6102,0.41868,0.36879,0.80251,0.69879,0.66792,0.67993,1.03389,0.29211,0.67664,0.34618,0.13561,0.07804,0.69316,0.41106,0.40492,0.49475,0.8081,0.58591,0.4907
1992,-0.18871,0.46012,0.58496,0.54966,0.52128,0.53634,0.64852,0.51392,0.39062,-0.00795,0.81482,0.30391,0.2791,0.58681,0.40307,0.14586,0.02201,0.12411,0.0475,-0.16962,0.46493,0.10113,0.38773,0.09612,0.60951,-0.07522,0.04074
1993,-0.03158,0.46395,0.44933,0.66279,0.417,0.47316,0.65231,0.62868,0.2526,0.1031,0.76213,0.2292,0.17217,0.6312,0.69293,0.33731,-0.06196,0.04166,-0.03328,0.03864,0.59322,0.28721,0.44736,0.19725,0.67063,0.00174,0.12655
1994,0.07165,0.70601,0.68616,0.60166,0.42183,0.41406,0.79579,0.55326,0.23778,0.23725,0.79105,0.45773,0.3862,0.69565,0.58287,0.46358,0.15985,0.06245,0.03995,0.18377,0.57516,0.41031,0.51977,0.46568,0.79457,0.2494,0.33869
1995,0.07192,0.83205,0.78981,0.6367,0.54271,0.45175,0.77838,0.74862,0.36539,0.27795,0.81538,0.56886,0.4841,0.90638,0.77459,0.18122,0.38814,0.17534,0.12439,0.17612,0.45672,0.38171,0.50966,0.43401,0.75978,0.23323,0.32818
1996,0.12584,0.94356,0.88073,0.70725,0.56671,0.62838,0.85057,0.58406,0.38639,0.46327,0.97429,0.66319,0.60505,0.99688,0.86293,0.11208,0.51517,0.2671,0.22215,0.32699,0.75391,0.31239,0.53433,0.49932,0.86443,0.31644,0.50274
1997,0.27968,0.71433,0.97472,0.61842,0.75167,0.86533,0.8665,0.66155,0.54,0.32792,1.16807,0.7544,0.63747,0.92406,0.78089,0.25938,0.62248,0.3307,0.33398,0.407,0.88491,0.46677,0.62458,0.38767,0.92028,0.39615,0.52294
1998,0.25015,0.8603,1.07202,0.65384,0.73437,0.94965,0.84697,0.75044,0.42854,0.3856,1.2991,0.73721,0.69901,0.8238,0.91906,0.29031,0.2476,0.34082,0.32176,0.58253,0.85567,0.66128,0.61591,0.08056,0.87563,0.45083,0.65827
1999,0.27252,0.82021,1.14141,0.80979,0.80111,0.88097,0.94515,0.727,0.53489,0.49717,1.2872,0.80989,0.72435,0.91475,0.92302,0.6809,0.24585,0.33837,0.38522,0.53523,0.8421,0.56058,0.69902,-0.06587,0.9624,0.49108,0.77859
2000,0.26205,1.04913,1.14474,0.8406,0.79853,0.87314,0.84289,0.85876,0.60824,0.65291,1.31602,0.86135,0.74512,1.00844,0.97116,0.5882,0.42572,0.46308,0.53051,0.61641,0.80636,0.70485,0.9002,-0.03645,1.00133,0.60417,0.70504
2001,0.24264,1.06608,1.20376,1.03577,1.03874,1.23455,0.9373,1.00725,0.62174,0.53973,1.47025,0.84984,0.7656,0.91211,1.05891,0.50828,0.63806,0.69901,0.64045,0.63552,0.83095,0.69263,1.10014,0.27463,1.02337,0.72599,0.62264
2002,0.27789,1.03749,1.19676,0.89841,1.29414,1.1872,0.96666,0.68806,0.51232,0.5312,1.45285,0.70481,0.8654,0.81891,0.90595,0.46853,0.57555,0.73198,0.73642,0.76073,0.86548,0.56863,1.08656,0.42202,1.12784,0.67581,0.77412
2003,0.31749,1.15221,1.22669,0.99907,1.24106,0.99168,1.0334,0.8284,0.71405,0.70772,1.3357,0.85156,0.90327,0.91648,1.14227,0.6559,0.56809,0.69953,0.64184,0.64245,1.00795,0.69277,1.04719,0.61456,1.20865,0.60863,0.81567
2004,0.44574,1.17417,1.17411,0.93447,1.08388,0.93191,0.98983,0.78082,0.81348,0.54979,1.38804,0.95256,0.88411,0.91547,1.18125,0.81738,0.82994,0.79997,0.72256,0.64244,0.95454,0.76438,0.96575,0.84009,1.18465,0.69135,0.78823
2005,0.56717,1.023,1.19838,0.96869,1.1098,0.95318,1.08142,0.68401,0.69628,0.63831,1.34308,0.89395,0.87956,1.20479,1.19842,0.61288,0.84872,0.80709,0.74853,0.69402,0.84004,0.92158,0.88133,0.89722,1.14431,0.6305,0.81496
2006,0.45278,1.10955,1.03423,0.91907,1.22652,1.1778,1.02081,0.85823,0.67406,0.64507,1.48151,0.85676,0.89984,1.22286,1.08916,0.49496,0.46679,0.99088,0.89742,0.62927,0.85468,0.84509,0.85564,0.61624,1.18019,0.54365,0.88257
2007,0.55045,1.27191,1.07942,0.97303,1.38434,1.286,1.19838,1.0095,0.83823,0.48981,1.42884,0.84104,0.87851,0.96591,1.07191,0.57017,0.44059,0.87201,0.73447,0.70761,0.94031,0.80266,1.05095,0.38978,1.23207,0.5969,0.83478
2008,0.5867,1.27018,1.21163,0.71131,1.45505,1.39865,1.16898,0.84938,0.88681,0.65719,1.4895,0.86489,0.85256,1.05216,1.32662,0.87171,0.61571,0.82363,0.80451,0.81662,1.08018,0.9086,1.06222,0.32081,1.21574,0.68091,0.93773
2009,0.63203,1.31302,1.38078,0.83297,1.39545,1.1654,1.18263,0.84795,0.77303,0.58967,1.5075,0.9416,0.87135,1.46595,1.32316,0.89905,0.72101,0.85923,0.75974,0.84165,0.94401,0.79072,0.97647,0.48308,1.23624,0.78214,0.91804
2010,0.84806,1.33163,1.67667,1.00811,1.24533,1.12982,1.2218,0.98166,0.89069,0.76996,1.49236,1.01747,0.8195,1.5169,1.24066,0.58313,0.96348,1.04967,0.65665,0.88587,0.96237,0.69573,1.03299,0.50111,1.2762,0.68719,0.88252
2011,0.91374,1.13211,1.53032,1.06609,1.34112,1.27947,1.16373,0.87472,0.8898,0.89129,1.61167,0.95519,0.78261,1.14176,1.40927,0.57081,0.74109,1.21072,0.8346,0.94743,1.03619,0.73429,1.25037,0.46397,1.39696,0.70636,1.16785
2012,0.79906,1.24512,1.37977,1.08011,1.47062,1.37474,1.25507,1.12864,0.90411,1.02815,1.79956,0.95468,0.82555,1.38587,1.49101,0.68684,0.67384,1.12565,1.13295,0.90068,0.98332,0.86206,1.27147,0.5734,1.35965,0.88003,1.22925
