Year,AS-RCEC_TaiESM1_r1i1p1f1,AWI_AWI-CM-1-1-MR_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,CCCR-IITM_IITM-ESM_r1i1p1f1,CMCC_CMCC-CM2-SR5_r1i1p1f1,CMCC_CMCC-ESM2_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,EC-Earth-Consortium_EC-Earth3-CC_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,INM_INM-CM5-0_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,KIOST_KIOST-ESM_r1i1p1f1,MIROC_MIROC6_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_HadGEM3-GC31-MM_r1i1p1f3,MOHC_UKESM1-0-LL_r1i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,MRI_MRI-ESM2-0_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NIMS-KMA_KACE-1-0-G_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,NUIST_NESM3_r1i1p1f1
2013,0.7573,1.21487,1.59613,0.95955,1.42043,1.21384,1.23464,1.00847,0.91318,0.74662,1.73663,1.02594,0.85869,1.35727,1.447,1.04043,0.76456,1.11424,0.98919,0.98092,0.89823,0.90407,1.11706,0.79733,1.32502,0.98591,1.28066
2014,0.79505,1.24286,1.66212,1.02489,1.34713,1.13225,1.28731,0.92101,0.79863,0.96452,1.74835,0.9531,0.87357,1.23355,1.49819,0.92124,0.91052,1.23323,0.94247,1.03801,0.96134,0.90663,1.15769,0.95412,1.45991,0.7176,1.09995
2015,1.07552,1.23771,1.62708,1.05623,1.49007,0.93173,1.39542,1.09645,0.91018,1.07659,1.69342,0.90882,0.9945,1.34305,1.46102,0.52383,1.07815,1.26411,0.97783,1.12062,1.03222,1.05319,1.41644,1.04977,1.62155,0.69876,1.34092
2016,1.04617,1.35674,1.67319,1.05854,1.561,1.0764,1.43942,1.17841,1.01225,1.10874,1.91276,1.03697,0.99766,1.67394,1.526,0.52558,0.76588,1.47767,1.10884,1.15319,1.0574,1.15602,1.47564,1.00484,1.60812,0.9157,1.28696
2017,0.89633,1.66073,1.88184,1.22791,1.38071,1.16831,1.48516,0.90643,1.18588,1.06911,1.75708,1.05567,1.0458,1.80602,1.62223,0.68098,0.58363,1.4071,1.21047,1.07178,1.09048,1.17122,1.26304,0.89618,1.54382,1.08593,1.40122
2018,1.02715,1.57866,1.84842,1.09962,1.21592,1.41246,1.40474,0.96203,1.12278,1.31044,1.50045,1.13331,0.95647,1.53649,1.36415,0.7641,0.74204,1.43698,1.14123,1.23372,1.21959,1.21475,1.32447,0.79329,1.70017,0.9416,1.55444
2019,1.10645,1.34974,1.8334,1.1741,1.31271,1.42785,1.45894,1.09321,1.03873,1.46016,1.55827,1.12955,1.0172,1.50415,1.37881,0.93836,1.13738,1.36927,1.0815,1.39409,1.05006,1.29545,1.39197,0.79644,1.85782,0.90055,1.63028
2020,1.04682,1.30213,1.90757,1.3158,1.30662,0.93228,1.57379,1.17329,1.06882,1.32313,1.74516,1.15455,1.12782,1.51611,1.51038,1.10061,1.21822,1.5113,1.22009,1.35065,0.89881,1.17479,1.46814,0.77944,1.76875,0.87308,1.66467
2021,1.04508,1.44743,1.83945,1.2515,1.49541,0.90804,1.62867,1.24818,1.26462,1.53573,1.84107,1.17583,1.17585,1.71341,1.6343,0.9852,1.03378,1.51069,1.34285,1.35825,1.15306,1.28138,1.64113,0.83189,1.8547,1.08356,1.52112
2022,1.07442,1.55787,1.88267,1.37641,1.51449,1.12252,1.57072,1.31991,1.17838,1.26769,1.77462,1.22853,1.24756,1.46646,1.6559,0.772,0.91029,1.42213,1.27741,1.51095,1.3761,1.43138,1.54376,0.84389,1.88054,1.21582,1.55033
2023,1.26324,1.70135,2.13596,1.34666,1.4199,1.22599,1.70284,1.3078,0.9823,1.50409,1.72824,1.35402,1.38365,1.51885,1.64262,0.86897,1.07694,1.57539,1.47703,1.53183,1.35254,1.40027,1.50638,0.87305,1.9269,0.96769,1.59255
2024,1.21573,1.83787,2.00193,1.30609,1.42563,1.27968,1.723,1.48427,1.17141,1.38126,1.87782,1.3454,1.3143,1.57636,1.68633,1.11831,1.1569,1.65883,1.53069,1.44894,1.26715,1.51489,1.72983,1.08574,2.06891,0.95792,1.56674
2025,1.13352,1.77623,1.95991,1.04781,1.50626,1.23034,1.72248,1.53891,1.39351,1.46823,1.78275,1.29358,1.38337,1.62289,1.74291,1.22632,1.08605,1.81057,1.4328,1.52577,1.35771,1.52297,1.86377,1.20078,2.27852,1.14522,1.54395
2026,1.32699,1.65715,2.18672,1.22325,1.67789,1.31229,1.7991,1.62398,1.39114,1.49176,1.72861,1.41492,1.44501,1.64644,1.72456,1.22826,1.43333,1.95132,1.44175,1.63116,1.20934,1.37301,1.76227,0.8963,2.29365,1.14486,1.72106
2027,1.52919,1.82614,2.13267,1.1426,1.58695,1.53597,1.94964,1.5808,1.31002,1.71784,1.66955,1.39867,1.49508,1.75376,1.70382,1.11408,1.38966,1.75239,1.49126,1.83845,1.33901,1.65847,1.81577,0.77975,2.1982,1.02951,1.78388
2028,1.45066,1.88338,2.23544,1.31383,1.71921,1.67488,2.00116,1.44769,1.27404,1.67854,1.763,1.43352,1.48978,1.92837,1.52181,1.19386,1.16993,1.9681,1.64444,1.76683,1.46613,1.70241,1.81964,0.91395,2.31186,1.26286,1.67395
2029,1.42105,1.7849,2.36411,1.46755,1.88312,1.55414,1.94503,1.45794,1.24921,1.52923,1.74614,1.52618,1.44643,2.11298,1.70822,1.49902,1.2185,2.11614,1.88528,1.73762,1.27823,1.53517,1.61195,1.00291,2.28448,1.33128,1.70945
2030,1.48916,2.01326,2.30876,1.3509,1.90869,1.48711,1.99539,1.47964,1.57469,1.62198,1.74551,1.5308,1.41123,2.03018,1.87151,1.44082,1.39271,1.95497,1.59321,1.90453,1.20336,1.62497,1.67352,1.14564,2.3323,1.05587,1.77981
2031,1.50154,1.80851,2.53194,1.32574,1.88208,1.66036,2.187,1.58841,1.61344,1.82478,1.8841,1.50779,1.46228,1.72905,1.83537,1.03086,1.67859,1.98834,1.88609,1.95214,1.39978,1.73118,1.74924,1.41439,2.47455,1.2605,1.7756
2032,1.79601,1.99058,2.55646,1.40549,1.76403,1.82284,2.09046,1.86514,1.48911,1.54876,1.72795,1.624,1.46388,1.70217,1.87136,1.08658,1.44398,2.02429,2.03607,2.04035,1.42724,1.81404,1.81096,1.10206,2.53341,1.34828,1.78823
2033,2.05241,2.1029,2.70338,1.59936,1.77412,1.64369,2.11877,1.77029,1.54485,1.73277,1.78401,1.64691,1.51606,1.67971,1.82376,1.10368,1.28756,2.0112,1.85893,2.17012,1.37392,1.64877,1.89386,1.1846,2.54301,1.30946,1.89082
2034,2.09916,1.85097,2.56361,1.425,1.83499,1.55815,2.192,1.74594,1.46786,1.76485,1.81379,1.64131,1.44656,1.8113,1.91372,1.15622,1.28364,2.22153,1.81328,2.2417,1.39748,1.69545,2.01042,1.36037,2.55378,1.19511,2.00872
2035,1.80488,1.83361,2.59187,1.36495,1.95588,1.79427,2.12705,1.74094,1.60663,1.8301,2.08477,1.64951,1.51906,1.79481,1.89917,1.42172,1.64321,2.42932,1.99183,2.24596,1.34862,1.86139,2.08338,1.45471,2.58225,1.20984,2.04402
2036,1.93179,1.96629,2.74056,1.3286,2.2299,1.94565,2.36791,1.81324,1.7825,1.87792,2.06599,1.66135,1.77648,1.95806,1.91093,1.49252,1.65901,2.44016,2.037,2.30807,1.39195,1.95201,2.23782,1.20992,2.62637,1.47406,2.20419
2037,2.05623,2.13174,2.75325,1.59171,2.35836,1.95252,2.42129,1.78019,1.60293,2.09573,1.80371,1.61909,1.77746,1.95159,2.01703,1.37534,1.47088,2.4276,2.09721,2.33301,1.55484,2.05596,2.30496,1.20332,2.82691,1.48073,2.13758
2038,2.09408,2.1538,2.64326,1.525,2.36188,1.97132,2.46783,1.83124,1.68504,1.97199,1.93119,1.71065,1.84951,2.27496,1.90578,1.2847,1.4364,2.43858,2.25226,2.3697,1.65997,2.10515,2.15697,1.31191,2.74303,1.44436,2.2517
2039,2.17697,1.91598,2.85606,1.4176,2.32987,2.10433,2.5058,1.92243,1.80611,1.88776,2.12048,1.73461,1.74123,2.24053,2.02435,1.40664,1.65529,2.61342,2.44943,2.48306,1.55682,2.03652,2.10788,1.46001,2.83654,1.50392,2.44716
2040,2.35416,2.05528,3.01804,1.63958,2.43343,2.18981,2.45855,2.04396,1.83057,2.05319,2.39799,1.83143,1.77464,2.17255,2.02509,1.69872,1.83726,2.73727,2.47106,2.67952,1.8049,2.16734,2.25902,1.67697,2.86047,1.59814,2.44979
2041,2.47055,2.00366,3.04154,1.72027,2.57084,1.92267,2.36763,1.74906,1.70691,2.16359,2.28098,1.79777,1.81435,2.33687,2.12342,1.52825,1.68954,2.62267,2.61193,2.69198,1.74457,2.24813,2.47197,1.65566,2.91293,1.50696,2.43452
2042,2.40859,2.02195,3.06718,1.69934,2.71688,1.81685,2.52544,1.95961,1.95569,2.13407,2.11833,1.81623,1.84406,2.46932,2.27213,1.46853,1.60587,2.62592,2.55272,2.65345,1.81728,2.27761,2.57725,1.53742,2.95529,1.48076,2.47354
2043,2.37913,2.06141,3.27958,1.73728,2.73587,2.05775,2.50148,2.1722,1.98582,2.32398,2.49338,1.82409,1.96005,2.68165,2.10974,1.56918,1.81524,2.60644,2.62413,2.72975,2.02578,2.25195,2.40751,1.532,3.0286,1.63171,2.49501
2044,2.60653,2.25277,3.394,1.86362,2.33907,2.40549,2.61712,1.95107,1.96094,2.27832,2.38377,1.95279,1.943,2.80436,2.1961,1.69147,2.23476,2.77139,2.61091,2.72041,1.97794,2.27114,2.49926,1.5157,3.00102,1.78272,2.47449
2045,2.63897,2.23615,3.26091,1.98433,2.38478,2.50526,2.64835,2.12091,2.04282,2.40028,2.33837,2.01427,1.97605,2.7038,2.21959,1.93112,1.97038,2.812,2.75065,2.75493,1.79047,2.18738,2.62749,1.68897,3.17449,1.8007,2.5017
2046,2.57234,2.24302,3.37649,2.07714,2.49239,2.38224,2.63053,2.29584,1.94139,2.41764,2.4225,2.05653,1.97744,2.66511,2.25528,1.90165,1.68761,3.03295,2.75816,2.96267,1.93841,2.31443,2.53186,1.98603,3.17359,1.54549,2.77647
2047,2.61485,2.32473,3.64876,2.10318,2.80939,2.35372,2.8704,2.30051,2.1416,2.37765,2.46184,2.02695,1.9819,2.84107,2.46451,1.51341,1.78871,2.96165,2.93947,3.09179,1.91225,2.5293,2.65928,2.06257,3.15367,1.65957,2.69971
2048,2.87736,2.47853,3.45026,2.04502,3.07606,2.44842,3.06852,2.45351,2.10261,2.47408,2.43567,2.12731,2.0545,2.93944,2.43156,1.64243,2.20089,3.02158,2.99784,3.11248,1.88387,2.42979,2.81746,1.99694,3.28993,1.89634,2.7955
2049,2.93422,2.58164,3.53087,2.26637,2.99032,2.70488,2.80936,2.49618,2.25849,2.604,2.56832,2.26898,2.13924,2.85021,2.22766,1.85704,2.38089,3.0132,3.01292,3.09416,2.00564,2.44616,2.85142,1.92461,3.3234,1.97289,2.93953
2050,2.80325,2.4458,3.63595,2.26834,2.73067,2.93246,2.9384,2.4741,2.17461,2.70597,2.73263,2.15347,2.16111,2.9882,2.36519,2.26288,2.04121,3.02879,3.0169,3.19638,2.09044,2.57545,2.70471,1.59694,3.23708,1.78692,2.8488
2051,2.79063,2.59555,3.68817,2.20814,2.69121,2.97346,2.87473,2.48782,2.29754,2.60027,2.78426,2.23764,2.15462,3.02103,2.5562,1.93438,2.0001,3.27473,3.24608,3.45935,2.00069,2.32148,2.74264,1.58786,3.45032,1.92007,2.713
2052,2.84294,2.54237,3.81256,2.00742,2.8613,2.73812,3.02878,2.81229,2.17682,2.71616,2.83963,2.17127,2.22129,3.17689,2.54034,1.78123,2.15984,3.23683,3.25381,3.50185,2.11186,2.48849,2.85908,1.92781,3.46896,2.02027,2.82532
2053,2.95945,2.73598,3.8278,2.16788,2.90524,2.74711,3.09034,2.58081,2.23715,2.97567,2.79356,2.20989,2.34081,3.22037,2.54824,1.88694,2.44837,3.1562,3.19331,3.43576,2.17462,2.50107,3.00978,2.0831,3.47595,2.00312,2.90326
2054,3.11982,2.94902,3.89713,2.13645,3.12811,2.8196,3.16713,2.7165,2.35466,2.85737,2.80351,2.33882,2.26448,3.19431,2.50373,2.06448,2.57123,3.33907,3.33139,3.50857,2.40114,2.48696,3.05113,1.84502,3.63059,2.14794,2.98693
2055,3.23795,2.76195,3.98114,2.21916,3.28248,2.90349,3.22132,2.96712,2.32965,2.88971,2.91172,2.4183,2.30984,3.2142,2.62829,2.29994,2.21758,3.51143,3.52506,3.69015,2.20088,2.6165,3.1133,1.7104,3.81201,2.24088,3.01574
2056,3.07739,2.68707,4.27692,2.35876,3.39917,3.01103,3.41528,2.79408,2.52857,3.06534,2.96671,2.4555,2.40177,3.52293,2.80322,2.32115,2.31535,3.73756,3.3173,3.70726,2.1413,2.65836,3.3034,1.71364,3.82657,2.01294,3.09097
2057,3.19631,2.85356,4.31075,2.41918,3.32433,3.27992,3.44676,2.69401,2.5339,3.11027,2.98487,2.4731,2.38951,3.48371,2.69235,2.48504,2.61207,3.63616,3.28782,3.7411,2.23079,2.68077,3.25578,1.94762,3.79506,2.15257,3.10181
2058,3.54369,3.17143,4.26129,2.23282,3.25028,3.45284,3.45546,2.91772,2.72492,3.34539,3.18784,2.48269,2.44969,3.50256,2.74852,2.20087,2.76689,3.58177,3.50789,3.67833,2.35006,2.66811,3.08877,2.25251,3.70182,2.21082,3.28254
2059,3.74516,3.05243,4.44733,2.2429,3.32159,3.29152,3.41891,3.226,2.86321,3.31351,3.2677,2.51078,2.52305,3.42857,2.76734,2.04059,2.50078,3.86584,3.66284,3.88097,2.41677,2.79218,3.31658,2.51313,3.76851,2.2912,3.43989
2060,3.60973,3.04576,4.48947,2.453,3.40512,3.20868,3.62966,3.16759,2.71872,3.29576,3.28546,2.52568,2.56391,3.58976,2.8008,2.10131,2.45019,3.71739,3.78481,4.10614,2.48949,2.93213,3.45075,2.30623,3.82796,2.17797,3.38112
2061,3.63923,3.14919,4.54973,2.42327,3.60492,3.44165,3.76871,3.16727,2.72781,3.41659,3.2462,2.7114,2.58573,3.45698,2.95097,2.17251,2.6591,3.79288,3.95482,4.09618,2.62222,2.79903,3.45534,2.4221,3.79758,2.39242,3.25861
2062,3.67554,3.36662,4.58842,2.37846,3.64712,3.70055,3.8147,3.34649,2.86407,3.43863,3.27691,2.72705,2.66346,3.58878,2.84244,2.34731,2.82414,3.96073,3.94874,4.15803,2.59569,2.90688,3.56763,2.41651,3.94,2.44861,3.40879
2063,3.47545,3.33222,4.52461,2.5194,3.7118,3.55057,3.90245,3.19866,2.96852,3.50226,3.52686,2.73277,2.64197,3.83382,2.86748,2.69251,2.65265,3.90968,4.11529,4.33641,2.51775,3.02243,3.62981,2.34012,3.97191,2.32612,3.36791
2064,3.61903,3.07652,4.74873,2.57353,3.66421,3.57668,3.85986,3.39948,2.78053,3.65379,3.47648,2.70569,2.48763,3.86659,3.03227,2.44588,2.551,4.08581,3.8913,4.41371,2.60825,2.92344,3.70567,2.34298,4.06973,2.63977,3.5179
2065,3.80676,3.16944,4.7568,2.60201,3.69212,3.89854,3.86995,3.40679,2.99107,3.46079,3.34273,2.89096,2.56898,3.86549,2.88315,2.14985,2.7632,4.17736,4.01628,4.47194,2.77389,3.11423,3.97304,2.26411,4.02102,2.58447,3.62866
2066,3.90241,3.49119,4.961,2.78208,3.89522,3.87022,3.91239,3.65914,3.22576,3.57393,3.53831,2.99142,2.68693,4.14094,3.14251,2.46342,2.9313,4.15292,4.24732,4.50174,2.80822,3.08665,3.89926,2.49828,4.13776,2.52896,3.85769
2067,4.16787,3.34057,5.1085,2.49692,4.18783,3.57546,4.06603,3.74212,3.35808,3.8046,3.75858,3.0573,2.77187,4.10355,3.33184,2.58811,2.67572,4.19874,4.08491,4.60784,2.6576,3.24153,3.83881,2.58748,4.21801,2.68262,3.76941
2068,4.08373,3.3735,4.93966,2.617,4.19653,3.69495,4.02262,3.75264,3.35017,3.68849,3.66435,2.95853,2.76764,4.14643,3.22024,2.47509,2.60893,4.2977,4.22633,4.53058,2.70862,3.37739,3.98115,2.45003,4.25833,2.57659,3.70578
2069,4.11544,3.39836,5.12638,2.81621,4.07398,3.97829,4.16177,3.67766,3.37721,3.99176,3.8787,2.99042,2.8568,4.1908,3.42448,2.73147,2.8821,4.38974,4.42898,4.70278,2.8746,3.23872,3.96541,2.52796,4.42491,2.81719,3.80795
2070,4.30641,3.41578,5.43366,2.86737,3.76311,4.27821,4.31318,3.83467,3.23772,4.01857,4.03854,3.0709,2.90307,4.37687,3.21724,2.9227,3.24202,4.52949,4.4177,4.94324,3.30335,3.29665,4.16783,2.65403,4.40484,2.76158,4.1103
2071,4.37167,3.59711,5.4787,2.72244,4.03644,4.30664,4.34199,3.78585,3.48636,4.24302,3.71386,3.06921,2.91618,4.5757,3.20841,2.58638,3.01782,4.6477,4.39973,4.95502,3.0959,3.27549,4.27327,2.55079,4.57876,2.80591,4.14337
2072,4.14442,3.49928,5.28088,2.82847,4.31421,4.02826,4.41725,4.06108,3.54689,4.12452,3.84012,3.2065,3.02758,4.50868,3.41869,2.66375,2.96211,4.5804,4.53288,5.15737,2.83529,3.3194,4.46334,2.8622,4.71831,2.70662,3.99069
2073,4.29018,3.71047,5.56981,2.73162,4.26582,4.12599,4.42578,4.20986,3.48126,4.17069,4.3206,3.15206,3.07479,4.44517,3.38968,2.87561,3.07785,4.81918,4.81255,5.11994,2.85329,3.52645,4.41381,3.01566,4.52676,2.8644,3.95801
2074,4.47357,3.69119,5.68091,2.86754,4.14362,4.47984,4.69171,4.11565,3.6091,4.27713,4.39173,3.15103,3.11989,4.56573,3.4507,2.99484,3.42007,4.86497,4.84495,4.91737,3.19172,3.55128,4.50471,2.74392,4.68448,3.00416,4.13349
2075,4.46849,3.64681,5.68223,2.90548,4.20211,4.48748,4.6488,4.24462,3.72688,4.39135,4.06022,3.30413,3.16963,4.45466,3.27601,3.23677,3.34869,4.99283,4.75091,5.09391,3.49632,3.53658,4.55979,2.66238,4.76034,2.95255,4.22573
2076,4.4654,3.74819,5.70404,3.17808,4.35742,4.42707,4.58757,4.27244,3.60372,4.3868,4.16589,3.2613,3.06941,4.63662,3.49236,2.96931,3.07608,4.9982,4.94955,5.40109,3.30022,3.60905,4.65917,3.11096,4.74139,2.8988,4.29799
2077,4.69563,3.93221,5.8735,3.00498,4.44718,4.19565,4.72126,4.45807,3.9211,4.30775,4.615,3.21808,3.03464,4.7793,3.57792,2.78001,3.17219,4.87164,5.12706,5.37509,3.2583,3.66015,4.74422,3.20925,4.79486,3.01656,4.51867
2078,4.75088,4.0473,5.95524,3.18932,4.56167,4.24665,4.86795,4.55828,3.84738,4.34075,4.8218,3.22999,3.20606,4.97535,3.47937,2.87745,3.40743,5.11545,4.96479,5.45672,3.39312,3.75359,4.56564,2.95511,4.94575,3.28418,4.37295
2079,4.56183,4.14697,5.84639,3.15537,4.87078,4.53828,4.92242,4.59173,3.99237,4.5109,4.51669,3.42191,3.18856,5.03024,3.61977,3.17262,3.70388,5.29094,4.91993,5.56147,3.34796,3.76034,4.75191,3.03662,5.10065,3.14332,4.30731
2080,4.75113,4.22076,6.09816,3.26725,4.61283,4.739,5.09914,4.5609,3.94565,4.67782,4.61474,3.44805,3.16826,5.37982,3.46174,3.49647,3.58475,5.20385,5.30084,5.66326,3.35858,3.86129,4.92707,3.2457,5.15003,3.05086,4.48861
2081,5.05374,4.23992,6.39406,3.2006,4.48121,4.64633,5.02293,4.68107,4.15888,4.70601,4.75508,3.36176,3.29083,5.56607,3.57472,3.57776,3.30548,5.46193,5.32051,5.71363,3.41829,3.95043,5.06226,3.1815,5.15238,3.32431,4.49805
2082,5.10071,4.20878,6.25846,3.31583,4.59739,4.721,5.1744,4.72731,4.31423,4.85878,5.05625,3.37546,3.28891,5.19871,3.66732,3.28697,3.48173,5.3562,5.32179,5.79189,3.43795,4.09541,4.89624,3.2407,5.26395,3.44368,4.57586
2083,4.98619,4.35898,6.26952,3.27449,4.80654,4.67792,5.07769,4.98246,4.34347,4.75681,5.23413,3.47508,3.32196,5.34814,3.62109,3.19235,3.86136,5.42365,5.55666,5.84751,3.71006,4.03876,5.04415,3.42515,5.41297,3.26223,4.6625
2084,5.13786,4.37207,6.44432,3.42307,5.1311,4.705,5.25438,4.99796,4.45102,5.0635,5.26518,3.47541,3.30498,5.53214,3.65763,3.29113,3.82917,5.55738,5.42044,5.98831,3.71007,4.22786,5.26943,3.71712,5.35254,3.45668,4.615
2085,5.31654,4.34751,6.57231,3.36619,5.00454,4.92858,5.32037,5.17851,4.62455,5.13189,5.15545,3.45,3.39643,5.36414,3.7299,3.54583,3.40451,5.89857,5.66346,6.03623,3.73988,4.33009,5.37609,3.65832,5.51093,3.47273,4.79463
2086,5.37703,4.56443,6.41795,3.5759,4.91801,5.12242,5.51427,5.27934,4.6682,5.08588,4.9073,3.51871,3.42582,5.61466,3.55024,3.68931,3.44593,5.89364,5.53511,6.04062,3.83014,4.22607,5.35529,3.70786,5.56478,3.50341,4.80106
2087,5.32714,4.37485,6.53297,3.35813,5.04254,5.12848,5.56112,5.17747,4.76157,5.22973,4.94913,3.63897,3.41807,5.88573,3.7787,3.46002,3.64495,5.83855,5.70918,6.20373,3.83877,4.27661,5.49226,3.76496,5.49653,3.43006,4.84048
2088,5.36882,4.4424,6.80482,3.51215,5.31048,5.02992,5.59047,5.28216,4.89265,5.27857,5.3434,3.6824,3.41451,5.83785,3.79656,3.46751,4.06729,6.08115,5.92485,6.31973,3.96824,4.19218,5.52185,3.64876,5.57838,3.54016,4.96515
2089,5.57452,4.68909,6.84123,3.56636,5.53907,5.01914,5.63971,5.52697,4.72434,5.2059,5.49168,3.70886,3.46117,6.02798,3.71654,3.7893,3.83207,6.22404,5.78246,6.60133,3.92104,4.14601,5.70066,3.76692,5.63942,3.90076,5.05523
2090,5.79584,5.06495,6.87373,3.57241,5.27582,5.11853,5.6524,5.31756,5.06854,5.39529,5.13668,3.6903,3.52212,6.14908,3.91078,3.98518,3.84618,6.11195,6.06462,6.5426,3.88492,4.28861,5.59914,3.88642,5.7185,3.72099,5.12176
2091,5.84788,4.64999,7.17816,3.87034,5.13098,5.40009,5.90049,5.59427,5.12855,5.50186,5.42101,3.78749,3.51874,6.10026,3.90704,3.71904,4.18739,6.28034,6.18488,6.51476,3.99227,4.46087,5.81991,3.60782,5.93882,3.80511,5.27006
2092,5.69521,4.7425,7.09033,3.63277,5.42877,5.39033,5.97493,5.62865,5.09525,5.56547,5.79139,3.91866,3.59746,6.10907,3.92685,3.72105,4.32924,6.32959,6.18678,6.62086,3.95065,4.42402,5.8324,3.64612,5.75583,3.83171,5.27051
2093,5.65488,4.90717,7.19569,3.881,5.63246,5.2437,6.11276,5.74044,5.27953,5.56136,5.97302,3.98189,3.73411,6.07882,4.01144,3.86678,3.9905,6.51878,6.40013,6.64607,4.03626,4.38171,5.96907,3.90013,5.81877,3.89141,5.12767
2094,5.72299,4.87597,7.27576,3.76654,5.61519,5.35238,6.02336,5.94875,5.45701,5.78887,5.54921,3.94055,3.74016,6.17019,4.13963,4.10896,3.95339,6.55133,6.38507,6.79408,4.06561,4.61608,6.02543,3.99975,6.02943,3.83547,5.32252
2095,5.90181,4.92368,7.36847,3.56077,5.50875,5.62643,6.17663,6.09518,5.38824,5.88017,5.63598,3.9245,3.82746,6.44505,4.14432,4.04331,4.31158,6.6023,6.38783,7.03627,4.1297,4.48352,6.1129,3.89271,6.06019,3.95516,5.36603
2096,6.03833,4.97463,7.57297,3.84575,5.6587,5.78599,6.3116,6.13867,5.41739,5.95729,5.84194,3.98561,3.81597,6.55867,3.96547,3.95991,4.58218,6.6693,6.5176,7.11228,4.1069,4.67645,6.29966,3.95606,6.04685,3.99565,5.49882
2097,6.01327,5.09947,7.47942,3.83082,5.70414,5.55242,6.30247,6.3357,5.5132,5.92205,5.92746,4.07136,3.96005,6.44681,4.0326,4.08198,4.45548,6.8718,6.60746,7.11144,4.20458,4.89452,6.19797,4.30412,6.13256,3.78292,5.40555
2098,5.94735,5.07509,7.47758,3.92086,5.72054,5.5525,6.52725,6.3823,5.64221,6.11138,6.14628,4.07201,4.00029,6.68074,4.21695,4.4672,4.29189,6.80803,6.57838,7.27392,4.54981,4.58706,6.23016,4.13791,6.20828,4.07868,5.5623
2099,6.27873,5.22913,7.73798,3.70463,5.89005,5.77528,6.4636,6.49377,5.79142,6.21613,6.22182,3.99309,4.08299,6.92063,4.09268,4.27309,4.37404,6.93643,6.74606,7.1068,4.46448,4.69201,6.29413,4.16995,6.32758,4.27399,5.76754
2100,6.35531,5.23369,7.74953,-,5.96543,5.76947,6.48316,6.31402,5.6747,6.24709,6.1195,4.06455,4.11226,6.75831,4.12492,4.27439,4.67382,6.99301,6.90183,7.25503,4.22133,4.9716,6.40569,4.3575,6.29967,4.15385,5.60015